City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.5167,-28.7,61.63,64,59,3.29,PT,1651966330
Knysna,-34.0363,23.0471,56.98,88,95,2.24,ZA,1651966330
Punta Arenas,-53.15,-70.9167,46.51,66,20,29.93,CL,1651966331
Naryan-Mar,67.6713,53.087,36.16,100,100,12.1,RU,1651966331
Waipawa,-41.4122,175.5153,63.27,61,57,21.39,NZ,1651966331
Airai,-8.9266,125.4092,66.42,78,52,4.9,TL,1651966332
Deshnok,27.7986,73.3447,84.56,18,0,12.57,IN,1651966332
Hermanus,-34.4187,19.2345,53.8,81,50,3.09,ZA,1651966333
Wanning,18.8003,110.3967,77.67,87,100,4.52,CN,1651966333
Kincardine,56.0667,-3.7167,54.28,83,100,2.84,GB,1651966334
Plettenberg Bay,-34.0527,23.3716,57.33,83,98,2.3,ZA,1651966273
Yellowknife,62.456,-114.3525,36.12,100,100,21.85,CA,1651966222
Butaritari,3.0707,172.7902,81.91,78,85,16.46,KI,1651966334
Bluff,-46.6,168.3333,57.79,95,100,6.44,NZ,1651966334
Chipinge,-20.1883,32.6236,60.19,61,30,3.02,ZW,1651966335
Busselton,-33.65,115.3333,59.29,66,76,3.42,AU,1651966115
Saint Paul Harbor,57.79,-152.4072,58.51,38,0,20.71,US,1651966335
Griffith,41.5284,-87.4237,63.14,48,0,9.22,US,1651966336
Husavik,66.0449,-17.3389,39.74,71,100,5.3,IS,1651966336
Narsaq,60.9167,-46.05,50.22,62,100,7.85,GL,1651966337
Barrow,71.2906,-156.7887,23.02,86,100,8.05,US,1651966337
Kungurtug,50.5994,97.5228,52.77,39,85,1.95,RU,1651966341
Hithadhoo,-0.6,73.0833,83.71,77,14,16.17,MV,1651966341
Mumford,5.2618,-0.759,81.12,81,67,6.49,GH,1651966342
Fairbanks,64.8378,-147.7164,52.14,65,100,21.85,US,1651966255
Port Alfred,-33.5906,26.891,58.17,88,100,1.99,ZA,1651966342
Suoyarvi,62.0833,32.35,38.34,91,93,5.32,RU,1651966343
Te Anau,-45.4167,167.7167,58.73,92,100,3.36,NZ,1651966343
Atuona,-9.8,-139.0333,78.75,76,29,16.84,PF,1651966351
Mezen',65.8522,44.24,42.26,92,13,12.82,RU,1651966351
Cayenne,4.9333,-52.3333,82.09,1,75,5.01,GF,1651966198
Mlonggo,-6.5333,110.7,81.05,83,25,4.81,ID,1651966352
Vilhena,-12.7406,-60.1458,77.22,65,0,6.91,BR,1651966352
Verkhnevilyuysk,63.4453,120.3167,41.05,79,100,9.62,RU,1651966356
Jamestown,42.097,-79.2353,59.52,38,0,10.36,US,1651966189
Uglovskoye,51.3557,80.1942,38.43,40,1,5.08,RU,1651966356
Guatire,10.4762,-66.5427,74.12,90,98,1.52,VE,1651966356
Kirakira,-10.4544,161.9205,84.22,76,80,10.89,SB,1651966357
Hobart,-42.8794,147.3294,56.05,76,20,4.61,AU,1651966204
Bredasdorp,-34.5322,20.0403,53.56,92,29,2.75,ZA,1651966357
Kahului,20.8947,-156.47,80.62,67,20,25.32,US,1651966133
Vaini,-21.2,-175.2,78.96,73,40,11.5,TO,1651966361
La Ronge,55.1001,-105.2842,55.65,47,100,8.05,CA,1651966364
Ushuaia,-54.8,-68.3,47.86,49,20,18.41,AR,1651966190
Hilo,19.7297,-155.09,77.25,80,100,9.22,US,1651966365
Kholodnyy,62.7167,147.95,28.96,88,100,2.46,RU,1651966365
Lüderitz,-26.6481,15.1594,54.12,78,0,15.41,NA,1651966366
Katsuura,35.1333,140.3,59.59,80,60,14.81,JP,1651966366
Mehamn,71.0357,27.8492,32.83,96,99,30.27,NO,1651966366
Rikitea,-23.1203,-134.9692,76.98,84,48,14.76,PF,1651966111
Ahipara,-35.1667,173.1667,67.03,62,30,3.13,NZ,1651966273
Nanortalik,60.1432,-45.2371,39.2,76,100,5.48,GL,1651966367
Mataura,-46.1927,168.8643,57.47,99,100,1.36,NZ,1651966367
Manta,-0.95,-80.7333,76.78,83,100,13.8,EC,1651966368
Manaure,11.7751,-72.4445,82.47,69,100,15.41,CO,1651966371
Touros,-5.1989,-35.4608,77.14,88,100,9.28,BR,1651966372
Castro,-24.7911,-50.0119,51.44,83,70,5.01,BR,1651966197
George Town,5.4112,100.3354,84.13,87,20,6.91,MY,1651966085
Carnarvon,-24.8667,113.6333,62.67,88,75,6.91,AU,1651966372
Alta Floresta,-9.8756,-56.0861,71.6,90,39,3.0,BR,1651966373
Marawi,7.9986,124.2928,76.91,79,87,2.59,PH,1651966373
Port Elizabeth,-33.918,25.5701,59.31,77,20,4.61,ZA,1651966374
Hasaki,35.7333,140.8333,68.4,63,72,22.44,JP,1651966196
Deputatsky,69.3,139.9,14.49,74,64,3.0,RU,1651966374
Dingle,10.9995,122.6711,83.84,73,36,12.82,PH,1651966374
Khatanga,71.9667,102.5,6.39,96,97,8.95,RU,1651966375
Kamenka,51.3223,42.7678,41.49,54,0,5.06,RU,1651966375
Amlamé,7.4667,0.9,74.34,88,79,1.99,TG,1651966376
Severo-Kuril'sk,50.6789,156.125,45.57,86,100,5.66,RU,1651966376
Provideniya,64.3833,-173.3,33.55,89,100,8.12,RU,1651966376
Kruisfontein,-34.0033,24.7314,54.88,83,87,3.56,ZA,1651966277
Mar del Plata,-38.0023,-57.5575,64.94,77,0,13.8,AR,1651966205
Arraial do Cabo,-22.9661,-42.0278,71.91,81,69,9.89,BR,1651966380
Lebu,-37.6167,-73.65,53.33,91,6,4.25,CL,1651966380
Tura,25.5198,90.2201,72.79,76,0,3.06,IN,1651966381
